# Rime user dictionary
#@/db_name	withdewhua.userdb
#@/db_type	userdb
#@/rime_version	1.4.0
#@/tick	31290
#@/user_id	withdewhua-win
a 	啊	c=189 d=8.54227 t=31290
qing gei wo 	請給我	c=2 d=0.540641 t=31290
qing jia 	請假	c=1 d=0.203926 t=31290
qing jia ba 	請假吧	c=1 d=0.0104099 t=31290
qing jia tiao 	請假條	c=3 d=0.625188 t=31290
qing jian cha lian jie 	請檢查鏈接	c=1 d=1 t=30657
qing jiao 	請教	c=1 d=0.980199 t=31290
qing jiao shang wo 	請叫上我	c=1 d=0.0742736 t=31290
qing jing 	情景	c=1 d=0.0305009 t=31290
qing jiu 	清酒	c=1 d=0.00640933 t=31290
qing kan 	請看	c=2 d=0.283654 t=31290
qing ke 	請客	c=2 d=0.535609 t=31290
qing kong 	清空	c=1 d=0.000311223 t=31290
qing kuang 	情況	c=30 d=0.961112 t=31290
qing kuang bu tong 	情況不同	c=1 d=2.55025e-14 t=31290
qing kuang xia 	情況下	c=9 d=0.0194482 t=31290
qing kuang xia de 	情況下的	c=1 d=0.000300519 t=31290
qing li 	清理	c=3 d=0.887825 t=31290
qing ming jie 	清明節	c=2 d=1.02598 t=31290
qing qiu 	請求	c=19 d=1.24853 t=31290
qing qiu tou 	請求頭	c=2 d=0.369058 t=31290
qing sheng ji 	請升級	c=1 d=0.12938 t=31290
qing shi yong 	請使用	c=1 d=0.313486 t=31290
qing shu ru 	請輸入	c=6 d=0.429345 t=31290
qing shu ru yi ge 	請輸入一個	c=1 d=0.202909 t=31290
qing shuang 	清爽	c=0 d=0.0113608 t=31290
qing tong 	青銅	c=0 d=0.000425356 t=31290
qing tong shou su 	青銅手速	c=1 d=0.00427488 t=31290
qing wei 	請爲	c=1 d=1 t=29965
qing wen xia 	請問下	c=1 d=0.339596 t=31290
qing wo 	請我	c=2 d=0.353699 t=31290
qing wo men 	請我們	c=1 d=0.000689186 t=31290
qing wu 	請勿	c=0 d=7.69716e-11 t=31290
qing wu chuan bo 	請勿傳播	c=1 d=7.73574e-10 t=31290
qing xi 	清晰	c=1 d=0.199803 t=31290
qing xi 	清洗	c=1 d=0.00719046 t=31290
qing xi du 	清晰度	c=1 d=0.554327 t=31290
qing xia 	請下	c=1 d=0.637628 t=31290
qing xian 	清閒	c=2 d=0.978575 t=31290
qing xiang 	傾向	c=1 d=0.0193512 t=31290
qing yang 	氫氧	c=2 d=0.000488095 t=31290
qing yuan 	情願	c=0 d=0.00203446 t=31290
qing yuan yong 	情願用	c=1 d=0.0204453 t=31290
qing yun 	青雲	c=1 d=0.00101791 t=31290
qing zhao gu 	請照顧	c=1 d=0.980199 t=31290
qing zhu yi 	請注意	c=1 d=0.0267827 t=31290
qiong bi 	窮逼	c=1 d=0.606531 t=31290
qiu 	求	c=1 d=0.022091 t=31290
qiu 	球	c=0 d=5.72785e-05 t=31290
qiu bang mang ju bao 	求幫忙舉報	c=1 d=0.101266 t=31290
qiu bu dao le 	求不到了	c=1 d=0.000155324 t=31290
qiu ge 	求個	c=1 d=1 t=30178
qiu ju bao 	求舉報	c=1 d=0.106992 t=31290
qiu ni 	求你	c=0 d=0.000276698 t=31290
qiu ni zuo ge ren 	求你做個人	c=1 d=0.00278085 t=31290
qiu shui 	秋水	c=1 d=0.83527 t=31290
qiu yin 	蚯蚓	c=1 d=0.010889 t=31290
qiu zhang 	酋長	c=1 d=0.0722451 t=31290
qiu zhi 	求職	c=0 d=0.0198891 t=31290
qiu zhi bang 	求職幫	c=1 d=0.199888 t=31290
qu 	區	c=11 d=2.0867 t=31290
qu 	去	c=40 d=1.14743 t=31290
qu 	取	c=7 d=0.457607 t=31290
qu 	曲	c=1 d=1 t=29506
qu ba 	去吧	c=1 d=0.0614212 t=31290
qu bang ni 	去幫你	c=1 d=0.394554 t=31290
qu bei 	去唄	c=1 d=0.151829 t=31290
qu bie 	區別	c=11 d=1.40798 t=31290
qu bie bu da 	區別不大	c=1 d=8.72054e-08 t=31290
qu bie de wang zhan 	去別的網站	c=1 d=0.000773179 t=31290
qu bu qu 	去不去	c=3 d=0.368937 t=31290
qu ce suo 	去廁所	c=1 d=0.000209665 t=31290
qu cha cha 	去查查	c=1 d=0.0500366 t=31290
qu chao shi ma 	去超市嗎	c=1 d=0.272532 t=31290
qu chi 	去吃	c=1 d=0.373439 t=31290
qu chi le 	去吃了	c=1 d=0.355226 t=31290
qu chu 	去除	c=8 d=1.95566 t=31290
qu chu mu lu 	去除目錄	c=1 d=2.3016e-13 t=31290
qu da zhi 	取大值	c=1 d=0.13466 t=31290
qu de 	去的	c=1 d=0.0784731 t=31290
qu de 	取得	c=1 d=0.0081887 t=31290
qu de le 	取得了	c=1 d=6.67658e-13 t=31290
qu de zao 	去的早	c=1 d=0.449329 t=31290
qu diao 	去掉	c=4 d=0.464446 t=31290
qu diao ba 	去掉吧	c=1 d=0.00355287 t=31290
qu dong 	驅動	c=3 d=0.956691 t=31290
qu fa gong dan 	去發工單	c=1 d=1 t=31290
qu fa guang gao le 	去發廣告了	c=1 d=0.0972957 t=31290
qu fan kui xia 	去反饋下	c=1 d=0.677057 t=31290
qu fan kui xia a 	去反饋下啊	c=1 d=0.140858 t=31290
qu fen 	區分	c=4 d=1.08074 t=31290
qu ge 	取個	c=1 d=0.0218184 t=31290
qu ge hao ting 	取個好聽	c=1 d=1 t=30704
qu geng xin le 	去更新了	c=1 d=0.000241172 t=31290
qu gou mai 	去購買	c=1 d=0.00027603 t=31290
qu guang gao 	去廣告	c=6 d=0.717075 t=31290
qu guang gao de 	去廣告的	c=1 d=0.0675424 t=31290
qu guang gao deng 	去廣告等	c=1 d=0.00516939 t=31290
qu guo 	去過	c=1 d=0.280832 t=31290
qu ji 	區級	c=1 d=0.0769192 t=31290
qu jiao 	去交	c=1 d=0.000916417 t=31290
qu jiao 	去叫	c=0 d=0.0255381 t=31290
qu jie chu 	去解除	c=1 d=0.985112 t=31290
qu jiu 	去就	c=0 d=0.00295994 t=31290
qu jiu hao le 	去就好了	c=1 d=0.0297478 t=31290
qu jue yu 	取決於	c=4 d=0.375224 t=31290
qu kai 	去開	c=0 d=7.20907e-05 t=31290
qu kai ge 	去開個	c=1 d=0.000724521 t=31290
qu kan 	去看	c=1 d=0.918512 t=31290
qu kan ba 	去看吧	c=0 d=0.000249118 t=31290
qu ku 	曲庫	c=1 d=1 t=29507
qu le 	去了	c=4 d=2.12481 t=31290
qu le bang wo zhan ge zuo a 	去了幫我佔個座啊	c=1 d=0.0536647 t=31290
qu ma 	去嘛	c=1 d=0.00298248 t=31290
qu mai 	去買	c=1 d=0.0231078 t=31290
qu me 	去麼	c=1 d=0.802519 t=31290
qu na 	去哪	c=0 d=0.0419887 t=31290
qu na 	去拿	c=0 d=0.0126818 t=31290
qu na bao gao 	去拿報告	c=1 d=0.127454 t=31290
qu na chi fan le 	去哪吃飯了	c=1 d=0.00283702 t=31290
qu na jia 	去哪家	c=2 d=0.147823 t=31290
qu na le 	去哪了	c=1 d=0.136014 t=31290
qu na li 	去哪裏	c=1 d=1 t=28228
qu na me yuan 	去那麼遠	c=1 d=0.0972957 t=31290
qu nong 	去弄	c=2 d=0.000256085 t=31290
qu pai de 	去拍的	c=1 d=0.904837 t=31290
qu pao 	去跑	c=1 d=0.00299743 t=31290
qu qi 	區旗	c=1 d=0.0639279 t=31290
qu qie huan 	去切換	c=1 d=0.67368 t=31290
qu quan 	去圈	c=1 d=0.00125578 t=31290
qu shang dian xia 	去商店下	c=1 d=0.00319873 t=31290
qu si liao 	去私聊	c=1 d=0.767206 t=31290
qu sou 	去搜	c=0 d=0.0869358 t=31290
qu sou xia 	去搜下	c=1 d=0.873716 t=31290
qu ti jian 	去體檢	c=1 d=0.0724398 t=31290
qu wen 	去問	c=1 d=0.0317456 t=31290
qu xia ge 	去下個	c=1 d=0.12307 t=31290
qu xian 	曲線	c=5 d=0.002403 t=31290
qu xiao 	取消	c=4 d=0.318851 t=31290
qu xiao diao 	取消掉	c=1 d=0.0114473 t=31290
qu xuan 	去選	c=1 d=0.0953692 t=31290
qu xue xi xia 	去學習下	c=1 d=0.955997 t=31290
qu yong 	去用	c=2 d=0.67368 t=31290
qu yu 	趨於	c=1 d=0.000777055 t=31290
qu zhao 	去找	c=5 d=0.88022 t=31290
qu zhao ni men 	去找你們	c=1 d=0.860708 t=31290
qu zhao ta 	去找她	c=1 d=0.0101022 t=31290
qu zhi 	取值	c=2 d=0.543362 t=31290
qu zhu ce 	去註冊	c=1 d=0.00852289 t=31290
qu zhu ce ba 	去註冊吧	c=1 d=0.29523 t=31290
quan 	全	c=5 d=1.09772 t=31290
quan 	圈	c=36 d=3.14023 t=31290
quan 	權	c=1 d=0.00140882 t=31290
quan bu 	全部	c=8 d=0.611138 t=31290
quan bu mai qi le 	全部買齊了	c=1 d=1 t=28767
quan cheng 	全程	c=2 d=0.608098 t=31290
quan cheng 	全稱	c=1 d=7.89201e-10 t=31290
quan de 	圈的	c=2 d=0.145148 t=31290
quan deng 	全等	c=1 d=0.04573 t=31290
quan dou 	全都	c=2 d=0.982641 t=31290
quan dou kai yuan 	全都開源	c=1 d=4.28961e-14 t=31290
quan dou zai 	全都在	c=1 d=0.0297478 t=31290
quan gai cheng 	全改成	c=1 d=0.00625109 t=31290
quan gei 	全給	c=1 d=0.511709 t=31290
quan gei xie zai le 	全給卸載了	c=1 d=0.194952 t=31290
quan huan gei ni 	全還給你	c=1 d=0.00612731 t=31290
quan ji 	全季	c=1 d=0.235746 t=31290
quan jiao 	全角	c=1 d=0.0131675 t=31290
quan ju 	全局	c=12 d=1.0107 t=31290
quan ju bian liang 	全局變量	c=3 d=2.30974 t=31290
quan ju de shi hou 	全局的時候	c=1 d=3.34653e-05 t=31290
quan ju mo shi 	全局模式	c=1 d=1 t=29143
quan ju ne 	全局呢	c=1 d=0.00447164 t=31290
quan ju zuo yong yu 	全局作用域	c=7 d=4.14957 t=31290
quan ju zuo yong yu zhong 	全局作用域中	c=1 d=0.373439 t=31290
quan kan 	全看	c=0 d=0.000852289 t=31290
quan li 	權利	c=2 d=0.189409 t=31290
quan li 	權力	c=1 d=7.14342e-14 t=31290
quan li de you xi 	權力的遊戲	c=2 d=0.00160272 t=31290
quan mian 	全面	c=3 d=0.0207162 t=31290
quan min 	全民	c=0 d=0.00317456 t=31290
quan min sheng huo 	全民生活	c=2 d=0.0647813 t=31290
quan neng 	全能	c=0 d=0.0460704 t=31290
quan neng jie dian 	全能節點	c=1 d=0.463013 t=31290
quan neng xuan shou 	全能選手	c=1 d=0.0137736 t=31290
quan ping tai 	全平臺	c=2 d=0.0214936 t=31290
quan qiu 	全球	c=1 d=1.10078e-12 t=31290
quan qun 	圈羣	c=2 d=7.56276e-05 t=31290
quan shan le 	全刪了	c=1 d=0.00367942 t=31290
quan shi 	全是	c=7 d=0.761881 t=31290
quan shuang gong 	全雙工	c=1 d=0.0934807 t=31290
quan tong 	全通	c=1 d=0.093638 t=31290
quan tong ce lve 	全通策略	c=1 d=0.0867261 t=31290
quan tui 	勸退	c=2 d=0.544929 t=31290
quan wei 	全爲	c=1 d=0.385145 t=31290
quan wei ling 	全爲零	c=1 d=0.336216 t=31290
quan wen 	全文	c=2 d=0.247833 t=31290
quan wen zong jie 	全文總結	c=1 d=1.60884e-06 t=31290
quan wen zong jie yu zhan wang 	全文總結與展望	c=1 d=2.449e-08 t=31290
quan xian 	權限	c=2 d=0.764113 t=31290
quan xuan 	全選	c=5 d=1.01775 t=31169
quan you 	權游	c=1 d=0.257947 t=31290
quan zai 	全在	c=1 d=0.425283 t=31290
quan zhan 	全棧	c=2 d=1.99501 t=30404
quan zhan 	全站	c=3 d=0.580298 t=31290
quan zhi 	全職	c=5 d=1.53565 t=31290
quan zhi 	權值	c=0 d=0.1 t=29160
quan zhi gao shou 	全職高手	c=7 d=1.34624 t=31290
quan zhong zhuan 	全中轉	c=3 d=0.302497 t=31290
que 	卻	c=1 d=0.065378 t=31290
que bao 	確保	c=1 d=0.368997 t=31290
que chu xian 	卻出現	c=1 d=0.166127 t=31290
que dian 	缺點	c=7 d=0.164522 t=31290
que ding 	確定	c=5 d=0.798113 t=31290
que hun 	雀魂	c=2 d=0.0717211 t=31290
que mei 	卻沒	c=0 d=0.0282239 t=31290
que mei chi guo 	卻沒吃過	c=1 d=0.283654 t=31290
que ren 	確認	c=3 d=0.284879 t=31290
que ren shuang fang 	確認雙方	c=1 d=0.377192 t=31290
que shao 	缺少	c=1 d=0.0816756 t=31290
que sheng 	缺省	c=1 d=0.0319819 t=31290
que sheng di zhi 	缺省地址	c=1 d=0.321422 t=31290
que shi 	確實	c=12 d=0.780632 t=31290
que shi da 	確實大	c=1 d=0.279431 t=31290
que shi hui 	確實會	c=0 d=0.0715338 t=31290
que shi hui ka 	確實會卡	c=1 d=0.718924 t=31290
que shi mei you 	確實沒有	c=1 d=0.0769192 t=31290
que shi you 	確實有	c=0 d=0.067032 t=31290
que shi you wen ti 	確實有問題	c=1 d=0.67368 t=31290
que ti shi 	卻提示	c=2 d=1.09325 t=31290
que ye 	卻也	c=1 d=0.00509243 t=31290
qun 	羣	c=14 d=1.75938 t=31290
qun cheng yuan 	羣成員	c=1 d=0.0510474 t=31290
qun li 	羣裏	c=12 d=1.26334 t=31290
qun li bu neng 	羣裏不能	c=1 d=0.0018363 t=31290
qun li shuo 	羣裏說	c=2 d=0.118245 t=31290
qun li shuo mei yong 	羣裏說沒用	c=1 d=0.463013 t=31290
qun miao shu 	羣描述	c=1 d=0.0490458 t=31290
qun ming 	羣名	c=2 d=0.0170247 t=31290
qun nei 	羣內	c=1 d=0.677057 t=31290
qun wen jian 	羣文件	c=1 d=0.822835 t=31290
qun wen jian li mian 	羣文件裏面	c=1 d=0.591556 t=31290
qun yuan 	羣員	c=1 d=1 t=29645
qun zhi ding 	羣置頂	c=1 d=0.0280154 t=31290
qun zhong li liang 	羣衆力量	c=0 d=0.1 t=28393
qun zhong li liang da 	羣衆力量大	c=1 d=1 t=28394
qun zhu 	羣主	c=5 d=0.719894 t=31290
qun zhuang 	羣樁	c=4 d=0.316964 t=31290
qun zhuang zhong 	羣樁中	c=3 d=0.305863 t=31290
qun zu 	羣組	c=5 d=1.61933 t=31290
ran er 	然而	c=7 d=0.169083 t=31290
ran hou 	然後	c=65 d=1.99503 t=31290
ran hou an zhao zi ji 	然後按照自己	c=1 d=0.113042 t=31290
ran hou chi hui 	然後吃灰	c=1 d=0.32628 t=31290
ran hou da huo 	然後大火	c=1 d=0.351692 t=31290
ran hou de le 	然後得了	c=1 d=0.00835412 t=31290
ran hou gei wo 	然後給我	c=1 d=0.00540733 t=31290
ran hou gen ju 	然後根據	c=1 d=0.000372602 t=31290
ran hou ji le xia lai 	然後記了下來	c=1 d=0.00442715 t=31290
ran hou jiu 	然後就	c=0 d=0.0293758 t=31290
ran hou jiu chi hui le 	然後就吃灰了	c=1 d=0.29523 t=31290
ran hou ne 	然後呢	c=1 d=0.00166989 t=31290
ran hou ni yong 	然後你用	c=1 d=0.00484407 t=31290
ran hou shi yong 	然後使用	c=1 d=0.852144 t=31290
ran hou shu chu 	然後輸出	c=1 d=1 t=30850
ran hou wo men lai kan xia 	然後我們來看下	c=1 d=0.064894 t=31290
ran hou you 	然後有	c=1 d=0.000717312 t=31290
ran hua 	然花	c=1 d=0.111359 t=31290
rang 	讓	c=7 d=0.99005 t=31290
rang da lao 	讓大佬	c=2 d=0.970494 t=31290
rang gei 	讓給	c=1 d=0.105399 t=31290
rang ni 	讓你	c=3 d=0.67032 t=31290
rang pang zi 	讓胖子	c=1 d=0.806541 t=31290
rang ta 	讓他	c=3 d=0.683861 t=31290
rang ta 	讓她	c=1 d=0.0071546 t=31290
rang ta chi 	讓他吃	c=1 d=0.00362464 t=31290
rang wang zhan 	讓網站	c=3 d=0.479524 t=31290
rang wang zhan zou dai li 	讓網站走代理	c=2 d=0.99005 t=31290
rang wo 	讓我	c=7 d=0.63664 t=31290
rang wo kan 	讓我看	c=1 d=0.00588705 t=31290
rang wo men 	讓我們	c=1 d=7.1262e-15 t=31290
rang wo shang xin 	讓我傷心	c=1 d=0.431711 t=31290
rang wo shi wang 	讓我失望	c=1 d=4.03978e-14 t=31290
rang zi dan fei 	讓子彈飛	c=1 d=0.995012 t=31290
rang zi ji 	讓自己	c=1 d=0.103312 t=31290
rang zu guo de 	讓祖國的	c=1 d=0.0515605 t=31290
rao 	擾	c=0 d=0.0267136 t=31290
rao 	繞	c=1 d=0.0939493 t=31290
rao bu guo 	繞不過	c=1 d=0.467666 t=31290
rao guo 	繞過	c=0 d=5.60375e-12 t=31290
rao guo ju yu wang he da lu 	繞過局域網和大陸	c=1 d=5.63184e-11 t=31290
re 	熱	c=1 d=0.0191587 t=31290
re ai 	熱愛	c=2 d=0.282239 t=31290
re ai de 	熱愛的	c=1 d=0.99005 t=31290
re dian 	熱點	c=2 d=0.0424257 t=31290
re nao 	熱鬧	c=1 d=0.0245923 t=31290
re nao le 	熱鬧了	c=1 d=0.244143 t=31290
re qing 	熱情	c=4 d=0.503039 t=31290
re ren 	惹人	c=0 d=0.0144424 t=31290
re ren wu hui 	惹人誤會	c=1 d=0.145148 t=31290
ren 	人	c=23 d=1.87684 t=31290
ren a 	人啊	c=0 d=0.0244143 t=31290
ren bu chu lai 	認不出來	c=1 d=0.00479587 t=31290
ren bu shao 	人不少	c=1 d=0.0526021 t=31290
ren bu zhu 	忍不住	c=1 d=0.0600186 t=31290
ren chao duo 	人超多	c=1 d=0.400517 t=31290
ren che 	人車	c=1 d=8.51103e-16 t=31290
ren ci 	人次	c=1 d=0.0015648 t=31290
ren duo 	人多	c=2 d=0.783233 t=31290
ren fa 	人發	c=0 d=0.0535261 t=31290
ren fa zhe ge 	人發這個	c=1 d=0.537944 t=31290
ren gong 	人工	c=0 d=0.0756547 t=31290
ren gong ke fu 	人工客服	c=2 d=0.0274266 t=31290
ren gong shen he xia 	人工審覈下	c=1 d=0.759572 t=31290
ren guo duo 	人過多	c=1 d=0.00301245 t=31290
ren hang 	人行	c=1 d=1 t=30947
ren he 	人和	c=0 d=0.0110251 t=31290
ren he 	任何	c=3 d=0.165314 t=31290
ren he ren 	人和人	c=1 d=0.110803 t=31290
ren he wei zhi 	任何位置	c=1 d=0.571209 t=31290
ren jia 	人家	c=3 d=0.871441 t=31290
ren jin lai 	人進來	c=3 d=6.15184e-05 t=31290
ren ke 	認可	c=0 d=0.0467666 t=31290
ren kou 	人口	c=0 d=0.00833256 t=31290
ren kou lao ling hua 	人口老齡化	c=2 d=0.173111 t=31290
ren le 	忍了	c=0 d=0.0946485 t=31290
ren li 	人力	c=1 d=0.900325 t=31290
ren li zi yuan bu 	人力資源部	c=1 d=9.30462e-06 t=31290
ren min bi 	人民幣	c=3 d=0.962684 t=31290
ren ren 	人人	c=1 d=5.64263e-11 t=31290
ren ren ying shi 	人人影視	c=1 d=5.64546e-10 t=31290
ren sheng 	人生	c=1 d=0.851254 t=31290
ren shi 	人事	c=0 d=0.0733447 t=31290
ren shi 	認識	c=5 d=0.794677 t=31290
ren shi de 	認識的	c=0 d=0.045612 t=31290
ren shi zi yuan bu 	人事資源部	c=1 d=0.737123 t=31290
ren shou 	人壽	c=1 d=0.0437178 t=31290
ren shu 	人數	c=1 d=0.00381048 t=31290
ren tai duo le 	人太多了	c=2 d=0.362435 t=31290
ren tou 	人頭	c=0 d=0.000472447 t=31290
ren tu ran duo le 	人突然多了	c=1 d=0.00296761 t=31290
ren wei 	認爲	c=2 d=0.740818 t=31290
ren wu 	人物	c=1 d=0.0599047 t=31290
ren wu 	任務	c=2 d=0.458585 t=31290
ren wu shi 	任務是	c=1 d=0.00179994 t=31290
ren wu zhuan bian 	任務轉變	c=1 d=0.0593087 t=31290
ren xiang chu 	人相處	c=1 d=0.194952 t=31290
ren yi 	任一	c=1 d=3.08924e-05 t=31290
ren yi 	任意	c=1 d=0.242085 t=31290
ren yi lei xing 	任意類型	c=1 d=0.19205 t=31290
ren yi san ge zheng shu 	任意三個整數	c=1 d=0.0147723 t=31290
ren yi shu ju lei xing 	任意數據類型	c=1 d=0.0833256 t=31290
ren you dian duo le 	人有點多了	c=1 d=0.150318 t=31290
ren yuan 	人員	c=2 d=0.546099 t=31290
ren zhen 	人真	c=0 d=0.0373439 t=31290
ren zhen 	認真	c=2 d=0.409558 t=31290
ren zhen duo de 	人真多的	c=1 d=0.375311 t=31290
ren zheng 	認證	c=2 d=0.0177743 t=31290
ren zheng kao shi 	認證考試	c=3 d=0.937067 t=31290
ren zhong bai 	人中白	c=4 d=0.91175 t=31290
ren zhu 	忍住	c=0 d=0.00953692 t=31290
reng ge 	扔個	c=1 d=0.0149208 t=31290
reng gei 	扔給	c=1 d=0.960789 t=31290
reng gei ta 	扔給她	c=1 d=0.0105145 t=31290
reng ran 	仍然	c=2 d=0.00504176 t=31290
reng shang qu 	扔上去	c=1 d=0.946485 t=31290
results 	Results	c=1 d=1 t=30685
ri 	日	c=10 d=1.72081 t=31290
ri 	鈤	c=1 d=1 t=31290
ri ben 	日本	c=4 d=1.2537 t=31290
ri chang 	日常	c=7 d=0.964988 t=31290
ri chang qi keng 	日常棄坑	c=1 d=0.763379 t=31290
ri chang shi yong 	日常使用	c=1 d=0.12307 t=31290
ri cheng 	日程	c=1 d=0.380983 t=31290
ri qi 	日期	c=3 d=0.537944 t=31290
ri qu 	日區	c=3 d=1.24289 t=31290
ri yong 	日用	c=0 d=4.97955e-05 t=31290
ri yong mei duo da wen ti 	日用沒多大問題	c=1 d=0.000500451 t=31290
ri zai xiao yuan 	日在校園	c=1 d=1 t=29447
ri zhi 	日誌	c=2 d=0.0793206 t=31290
rom 	ROM	c=8 d=0.895759 t=31290
rong liang 	容量	c=17 d=0.69867 t=31290
rong liang bi jiao 	容量比較	c=1 d=1.08123e-07 t=31290
rong liang ji xian 	容量極限	c=1 d=8.50812e-12 t=31290
rong liang shi you 	容量是有	c=1 d=6.02562e-12 t=31290
rong xing 	榮幸	c=0 d=0.179169 t=31290
rong yi 	容易	c=3 d=0.771852 t=31290
rong yi chu wen ti 	容易出問題	c=1 d=0.540641 t=31290
rong yi de 	容易得	c=1 d=0.00612731 t=31290
rou si 	肉絲	c=0 d=0.0137381 t=31290
rou zai 	肉仔	c=3 d=1.19742 t=31290
rss 	RSS	c=1 d=7.44785e-05 t=31290
ru 	入	c=2 d=0.0399386 t=31290
ru 	如	c=28 d=0.913931 t=31290
ru biao 	如表	c=1 d=4.06557e-30 t=31290
ru ci 	如此	c=4 d=0.0130631 t=31290
ru guo 	如果	c=77 d=1.68993 t=31290
ru guo jue de 	如果覺得	c=1 d=0.588605 t=31290
ru guo man zi shu 	如果滿字數	c=1 d=0.25924 t=31290
ru guo mei you 	如果沒有	c=1 d=0.484325 t=31290
ru guo ni he zi ji yi dui peng you 	如果你和自己一堆朋友	c=1 d=0.562705 t=31290
ru guo ni jue de 	如果你覺得	c=1 d=0.634448 t=31290
ru guo ni que ding 	如果你確定	c=1 d=0.40657 t=31290
ru guo ni yao jia 	如果你要加	c=1 d=0.000413853 t=31290
ru guo ni zhi jie yong de 	如果你直接用的	c=1 d=0.628135 t=31290
ru guo ni zhi shi 	如果你只是	c=1 d=0.666977 t=31290
ru guo shi 	如果是	c=0 d=0.0650509 t=31290
ru guo shi yong de 	如果是用的	c=1 d=0.782705 t=31290
ru guo shi zhi fu bao de hua 	如果是支付寶的話	c=1 d=0.65377 t=31290
ru guo wo hai mei xing 	如果我還沒醒	c=1 d=1.96979e-05 t=31290
ru guo yong le 	如果用了	c=1 d=0.416862 t=31290
ru guo you 	如果有	c=1 d=0.737123 t=31290
ru he 	如何	c=134 d=11.0272 t=31290
ru he ban li 	如何辦理	c=1 d=0.125556 t=31290
ru he cha kan 	如何查看	c=1 d=0.0564161 t=31290
ru he gai wei 	如何改爲	c=1 d=0.97531 t=31290
ru he gei 	如何給	c=1 d=3.01297e-05 t=31290
ru he geng gai 	如何更改	c=1 d=0.839457 t=31290
ru he geng huan 	如何更換	c=1 d=4.04529e-30 t=31290
ru he ji lu 	如何記錄	c=1 d=0.214381 t=31290
ru he jie jue 	如何解決	c=1 d=0.0126512 t=31290
ru he kai qi 	如何開啓	c=2 d=0.158817 t=31290
ru he li jie 	如何理解	c=1 d=2.74747e-08 t=31290
ru he shi 	如何使	c=1 d=0.293758 t=31290
ru he shi yong 	如何使用	c=3 d=0.847894 t=31290
ru he tong bu 	如何同步	c=1 d=0.400517 t=31290
ru he zhi dao 	如何知道	c=1 d=1 t=30595
ru he zhi xing 	如何執行	c=1 d=1.06567e-13 t=31290
ru he zuo dao 	如何做到	c=1 d=0.00227676 t=31290
ru jie kou 	入接口	c=1 d=0.0184997 t=31290
ru jin 	如今	c=3 d=0.165299 t=31290
ru jin zhe xie 	如今這些	c=1 d=7.02009e-15 t=31290
ru kou 	入口	c=1 d=0.0021068 t=31290
ru lian shi 	入殮師	c=1 d=1 t=29504
ru men 	入門	c=0 d=0.00841287 t=31290
ru men dao 	入門到	c=1 d=1 t=30793
ru men ruan jian 	入門軟件	c=1 d=8.40459e-15 t=31290
ru men zhi shi 	入門知識	c=1 d=0.0199405 t=31290
ru qi 	如期	c=0 d=0.1 t=29406
ru ruo 	如若	c=1 d=0.0117959 t=31290
ru shang mian 	如上面	c=2 d=3.88824e-05 t=31290
ru shi shuo 	如是說	c=1 d=0.148823 t=31290
ru tong 	如同	c=4 d=0.510726 t=31290
ru tu 	如圖	c=11 d=0.579842 t=31290
ru xia 	如下	c=21 d=1.00925 t=31290
ru xia tu 	如下圖	c=1 d=0.178173 t=31290
ru xu 	如需	c=2 d=1.32891 t=31290
ru xu shi yong 	如需使用	c=2 d=0.582748 t=31290
ru you 	如有	c=0 d=0.0261846 t=31290
ru you xu yao 	如有需要	c=1 d=0.263158 t=31290
ru yu dao 	如遇到	c=1 d=0.0575558 t=31290
ru zhang 	入賬	c=1 d=0.0109985 t=31290
ru zhi 	入職	c=4 d=0.738306 t=31290
ru zhi le 	入職了	c=1 d=0.323033 t=31290
ru zhi ti jian 	入職體檢	c=2 d=0.228242 t=31290
ru zhi ti yan 	入職體驗	c=1 d=0.0824965 t=31290
ruan 	軟	c=0 d=0.0142987 t=31290
ruan jian 	軟件	c=43 d=4.87128 t=31290
ruan jian bao 	軟件包	c=1 d=0.927743 t=31290
ruan jian ce shi 	軟件測試	c=1 d=0.383083 t=31290
ruan jian ce shi gong cheng shi 	軟件測試工程師	c=1 d=0.603506 t=31290
ruan jian chan pin 	軟件產品	c=1 d=0.0413782 t=31290
ruan jian chu qi 	軟件初期	c=1 d=0.299692 t=31290
ruan jian de 	軟件的	c=1 d=0.860708 t=31290
ruan jian ke yi sheng ji le 	軟件可以升級了	c=1 d=0.860708 t=31290
ruan jian nei rong bei fen 	軟件內容備份	c=1 d=0.063609 t=31290
ruan jian yuan 	軟件源	c=2 d=1.11243 t=31290
ruan lu you 	軟路由	c=3 d=0.149543 t=31290
ruan ruan de 	軟軟的	c=1 d=0.32628 t=31290
ruan ying jian 	軟硬件	c=2 d=1.12431 t=29223
run nian 	閏年	c=3 d=0.678526 t=31290
ruo 	若	c=8 d=0.793536 t=31290
ruo chu xian 	若出現	c=1 d=0.00157264 t=31290
ruo dui yu 	若對於	c=1 d=0.878095 t=31290
ruo lian jie 	若鏈接	c=1 d=0.0365162 t=31290
ruo mei you 	若沒有	c=1 d=0.744532 t=31290
ruo shi yong 	若使用	c=1 d=0.14808 t=31290
ruo wei 	若爲	c=1 d=0.0665368 t=31290
ruo wu 	若無	c=2 d=0.612626 t=31290
ruo you 	若有	c=1 d=1 t=30712
ruo zi ji 	若自己	c=1 d=0.379083 t=31290
sa 	仨	c=1 d=0.25284 t=31290
